"Book"	"name"	"author"	"language"	"wikiLink"	"authorName"	"authorWikiLink"
"http://dbpedia.org/resource/Mother_Warriors"	"Mother Warriors: A Nation of Parents Healing Autism Against All Odds"	"http://dbpedia.org/resource/Jenny_McCarthy"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/Mother_Warriors?oldid=589262414"	"Jenny McCarthy"	"http://en.wikipedia.org/wiki/Jenny_McCarthy?oldid=606800113"
"http://dbpedia.org/resource/Mother_Warriors"	"Mother Warriors: A Nation of Parents Healing Autism Against All Odds"	"http://dbpedia.org/resource/Jenny_McCarthy"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/Mother_Warriors?oldid=589262414"	"McCarthy, Jenny"	"http://en.wikipedia.org/wiki/Jenny_McCarthy?oldid=606800113"
"http://dbpedia.org/resource/Mr._Moto_Is_So_Sorry"	"Mr. Moto is So Sorry"	"http://dbpedia.org/resource/John_P._Marquand"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/Mr._Moto_Is_So_Sorry?oldid=568552302"	"John P. Marquand"	"http://en.wikipedia.org/wiki/John_P._Marquand?oldid=604025379"
"http://dbpedia.org/resource/Mr._Moto_Is_So_Sorry"	"Mr. Moto is So Sorry"	"http://dbpedia.org/resource/John_P._Marquand"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/Mr._Moto_Is_So_Sorry?oldid=568552302"	"Marquand, John P."	"http://en.wikipedia.org/wiki/John_P._Marquand?oldid=604025379"
"http://dbpedia.org/resource/Pontypool_Changes_Everything"	"Pontypool Changes Everything"	"http://dbpedia.org/resource/Tony_Burgess_(author)"	"English"	"http://en.wikipedia.org/wiki/Pontypool_Changes_Everything?oldid=581900709"	"Tony Burgess"	"http://en.wikipedia.org/wiki/Tony_Burgess_(author)?oldid=606153905"
"http://dbpedia.org/resource/Pontypool_Changes_Everything"	"Pontypool Changes Everything"	"http://dbpedia.org/resource/Tony_Burgess_(author)"	"English"	"http://en.wikipedia.org/wiki/Pontypool_Changes_Everything?oldid=581900709"	"Burgess, Tony"	"http://en.wikipedia.org/wiki/Tony_Burgess_(author)?oldid=606153905"
"http://dbpedia.org/resource/Pormestarin_tyt%C3%A4r"	"Pormestarin tytär"	"http://dbpedia.org/resource/Kaari_Utrio"	"http://dbpedia.org/resource/Finnish_language"	"http://en.wikipedia.org/wiki/Pormestarin_tytär?oldid=573331715"	"Utrio, Kaari"	"http://en.wikipedia.org/wiki/Kaari_Utrio?oldid=592868158"
"http://dbpedia.org/resource/Pormestarin_tyt%C3%A4r"	"Pormestarin tytär"	"http://dbpedia.org/resource/Kaari_Utrio"	"http://dbpedia.org/resource/Finnish_language"	"http://en.wikipedia.org/wiki/Pormestarin_tytär?oldid=573331715"	"Kaari Utrio"	"http://en.wikipedia.org/wiki/Kaari_Utrio?oldid=592868158"
"http://dbpedia.org/resource/Requiem_for_a_Nun"	"Requiem for a Nun"	"http://dbpedia.org/resource/William_Faulkner"	"English"	"http://en.wikipedia.org/wiki/Requiem_for_a_Nun?oldid=598094702"	"William Faulkner"	"http://en.wikipedia.org/wiki/William_Faulkner?oldid=606797348"
"http://dbpedia.org/resource/Requiem_for_a_Nun"	"Requiem for a Nun"	"http://dbpedia.org/resource/William_Faulkner"	"English"	"http://en.wikipedia.org/wiki/Requiem_for_a_Nun?oldid=598094702"	"Faulkner, William Cuthbert"	"http://en.wikipedia.org/wiki/William_Faulkner?oldid=606797348"
"http://dbpedia.org/resource/Requiem_for_a_Nun"	"Requiem for a Nun"	"http://dbpedia.org/resource/William_Faulkner"	"English"	"http://en.wikipedia.org/wiki/Requiem_for_a_Nun?oldid=598094702"	"William Cuthbert Faulkner"	"http://en.wikipedia.org/wiki/William_Faulkner?oldid=606797348"
"http://dbpedia.org/resource/Runemarks"	"Runemarks"	"http://dbpedia.org/resource/Joanne_Harris"	"English"	"http://en.wikipedia.org/wiki/Runemarks?oldid=604712131"	"Harris, Joanne Michèle Sylvie"	"http://en.wikipedia.org/wiki/Joanne_Harris?oldid=601233320"
"http://dbpedia.org/resource/Runemarks"	"Runemarks"	"http://dbpedia.org/resource/Joanne_Harris"	"English"	"http://en.wikipedia.org/wiki/Runemarks?oldid=604712131"	"Joanne Harris"	"http://en.wikipedia.org/wiki/Joanne_Harris?oldid=601233320"
"http://dbpedia.org/resource/Runemarks"	"Runemarks"	"http://dbpedia.org/resource/Joanne_Harris"	"English"	"http://en.wikipedia.org/wiki/Runemarks?oldid=604712131"	"Joanne Michèle Sylvie Harris"	"http://en.wikipedia.org/wiki/Joanne_Harris?oldid=601233320"
